Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1, D2, D3, D4, D5, D6",6,"Red LED"
"R1, R2, R3, R4, R5, R6, R9",7,"220 Ω Resistor"
"S1",1," Pushbutton"
"R7",1,"2.2 kΩ Resistor"
"U2",1," LCD 16 x 2"
"Rpot2",1,"250 kΩ Potentiometer"
"SEN1",1," Soil Moisture Sensor"
